Ind_ID,Year,Locale,Sex,Species,Copula,MatingSuccess,Eggs,TotalLength,WingLength,AbdomenLength,S4Width
2020_1000_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.67,17.19,25.37,0.43
2020_1001_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,33.47,18.62,25.9,0.43
2020_1002_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.86,17.69,26.43,0.42
2020_1003_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.42,18.27,26.78,0.42
2020_1004_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.24,17.19,25.68,0.46
2020_1005_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.96,17.87,26.26,0.46
2020_1007_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.09,18.28,26.28,0.46
2020_1008_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.5,19.01,26.62,0.44
2020_1009_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.33,17.78,25.74,0.44
2020_1010_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.64,18.13,26.3,0.43
2020_1011_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.12,18.97,26.66,0.47
2020_1012_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.4,17.44,26.67,0.49
2020_1013_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.4,18.15,26.68,0.46
2020_1014_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.72,18.29,26.97,0.46
2020_1015_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.82,17.87,25.35,0.51
2020_1016_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.28,17.83,25.71,0.47
2020_1017_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.39,17.92,25.73,0.42
2020_1019_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.01,17.48,25.57,0.45
2020_1022_Ischnura elegans,2020,Bunkeflostrand,Male,Ischnura_elegans,0,0,NA,29.59,15.26,22.74,0.44
2020_1023_Ischnura elegans,2020,Bunkeflostrand,Male,Ischnura_elegans,0,0,NA,29.5,15.99,22.74,0.42
